entity,level,group,n,n_members,cov_before,cov_lobo,cov_mondrian,bias
Astacus_astacus,3,headwater,6337,4,0.9387722897270001,0.9387722897270001,0.9414549471358687,0.02496077079852091
Astacus_astacus,3,non_hw,8225,4,0.9886930091185411,0.9886930091185411,0.9886930091185411,0.009515849633034486
Astacus_astacus,10,headwater,6337,4,0.6982799431907842,0.8298879596023355,0.9053179738046394,0.06628855366722167
Astacus_astacus,10,non_hw,8225,4,0.9155015197568389,0.9666869300911854,0.9288753799392098,0.026101694205420654
Astacus_astacus,20,headwater,6337,4,0.5363736783967177,0.8551364999210983,0.9300931039924254,0.11313930310593223
Astacus_astacus,20,non_hw,8225,4,0.814468085106383,0.9747112462006079,0.9296048632218845,0.044218930501070175
Austropotamobius_torrentium_pooled,3,headwater,5302,4,0.9768012070916635,0.9768012070916635,0.9768012070916635,0.014058789550874156
Austropotamobius_torrentium_pooled,3,non_hw,6570,4,0.9899543378995433,0.9899543378995433,0.9899543378995433,0.007999569614867929
Austropotamobius_torrentium_pooled,10,headwater,5302,4,0.9024896265560166,0.9181440965673331,0.936250471520181,0.04014409209316429
Austropotamobius_torrentium_pooled,10,non_hw,6570,4,0.9453576864535769,0.9547945205479452,0.9474885844748858,0.024820785295778375
Austropotamobius_torrentium_pooled,20,headwater,5302,4,0.7855526216522067,0.8981516408902301,0.9339871746510751,0.07325486136448053
Austropotamobius_torrentium_pooled,20,non_hw,6570,4,0.9053272450532724,0.9636225266362253,0.9307458143074582,0.037517037141562654
Faxonius_limosus_alien,3,headwater,8628,4,0.9614047287899861,0.9614047287899861,0.9614047287899861,0.018092245511266355
Faxonius_limosus_alien,3,non_hw,11424,4,0.9840686274509803,0.9840686274509803,0.9840686274509803,0.004561955533948498
Faxonius_limosus_alien,10,headwater,8628,4,0.8507185906351414,0.9028743625405656,0.9418173388966157,0.04492762220683965
Faxonius_limosus_alien,10,non_hw,11424,4,0.9530812324929971,0.9736519607843137,0.9539565826330533,0.007822699331808007
Faxonius_limosus_alien,20,headwater,8628,4,0.7370190078813167,0.894297635605007,0.9379925822902179,0.07180491003917305
Faxonius_limosus_alien,20,non_hw,11424,4,0.9083508403361344,0.9726015406162465,0.9445028011204482,0.009137759855569864
Pacifastacus_leniusculus_alien,3,headwater,13307,4,0.9396558202449838,0.9396558202449838,0.942962350642519,0.019516546473119588
Pacifastacus_leniusculus_alien,3,non_hw,24142,4,0.9862066108855936,0.9862066108855936,0.9862066108855936,0.005555775169177927
Pacifastacus_leniusculus_alien,10,headwater,13307,4,0.8303900202900729,0.8684902682798528,0.9217704967310438,0.04738459807451306
Pacifastacus_leniusculus_alien,10,non_hw,24142,4,0.945033551487035,0.9654543948305857,0.9483472786016072,0.01870638879101083
Pacifastacus_leniusculus_alien,20,headwater,13307,4,0.7665138648831442,0.855715037198467,0.922446832494176,0.07306345973459535
Pacifastacus_leniusculus_alien,20,non_hw,24142,4,0.9096595145389778,0.963631844917571,0.9401458039930412,0.030801225532094086
